dataset,method,runs,sat_rate,fair_rate,accuracy_mean,accuracy_std,di_mean,di_std,fpr_gap_mean,runtime_mean
breast_cancer_proxy,cart,10,1.0,0.0,0.923391812865497,0.020154474893665213,0.3297733157114021,0.045378185213781126,0.26088090033344896,0.0014702900001793751
breast_cancer_proxy,cart_group_threshold,10,0.3,0.3,0.8064327485380117,0.19556330448410875,0.5792557388387198,0.2925656068951858,0.14960932430433185,0.010223700000278769
breast_cancer_proxy,cert_tree,10,0.0,0.0,,,,,,2.034519260000343
diabetes_proxy,cart,10,1.0,0.2,0.7300751879699249,0.022819407799679284,0.7432460349108059,0.07647357627061946,0.12412078316071973,0.0004978599998139543
diabetes_proxy,cart_group_threshold,10,1.0,0.4,0.6819548872180451,0.10050406561105743,0.8432373316542778,0.1263438425137625,0.10728232760538577,0.008367009999710717
diabetes_proxy,cert_tree,10,1.0,0.0,0.7165413533834586,0.0311120353557548,0.7802901668081187,0.0725545900106398,0.10422060511931633,1.880253300000004
synthetic_extreme,cart,10,1.0,0.0,0.8360416666666666,0.011622353010736377,0.06557914543618422,0.0456914015163667,0.5606681946477092,0.0013479900000675116
synthetic_extreme,cart_group_threshold,10,1.0,1.0,0.5358333333333334,0.02963903207296457,1.0,0.0,0.0,0.012756359999912092
synthetic_extreme,cert_tree,10,0.0,0.0,,,,,,2.3520087799999603
synthetic_medium,cart,10,1.0,0.0,0.7839583333333333,0.02509722606530136,0.223740334488609,0.08920864660714699,0.42223356740986684,0.001352749999932712
synthetic_medium,cart_group_threshold,10,1.0,1.0,0.546875,0.005912981377057818,1.0,0.0,0.0,0.012296539999806556
synthetic_medium,cert_tree,10,0.0,0.0,,,,,,2.333195380000325
synthetic_mild,cart,10,1.0,0.0,0.7645833333333333,0.020763772760730628,0.3123400273435356,0.08952497769624966,0.3525284224032692,0.0013228900001195144
synthetic_mild,cart_group_threshold,10,1.0,1.0,0.54625,0.0036483126490455087,1.0,0.0,0.0,0.012573700000211829
synthetic_mild,cert_tree,10,0.7,0.5,0.6583333333333333,0.016623207227202515,0.8706348506289162,0.07610820810209562,0.0477100403356567,2.1313368600000104
wine_proxy,cart,10,1.0,0.0,0.9166666666666666,0.03409062042341746,0.5101920105837157,0.07934165095673247,0.24669934640522873,0.0004435000004377798
wine_proxy,cart_group_threshold,10,0.0,0.0,0.888888888888889,0.056575008579701734,0.5653244674987813,0.08916485773016067,0.15086601307189543,0.008672619999924792
wine_proxy,cert_tree,10,0.0,0.0,,,,,,1.5501670500003457
