analysis,depth,feature_count,seed,status,runtime_sec,checked,num_splits
scalability,1,2,0,UNSAT,0.0015595999993820442,32,8
scalability,1,2,1,UNSAT,0.0017743999997037463,32,8
scalability,1,2,2,UNSAT,0.001777100000253995,32,8
scalability,1,4,0,UNSAT,0.0017552000008436153,56,14
scalability,1,4,1,UNSAT,0.002232700000604382,56,14
scalability,1,4,2,UNSAT,0.0019893000007868977,56,14
scalability,1,6,0,UNSAT,0.003891199999998207,80,20
scalability,1,6,1,UNSAT,0.0038944999996601837,80,20
scalability,1,6,2,UNSAT,0.0026669999988371274,80,20
scalability,1,8,0,UNSAT,0.002948100000139675,104,26
scalability,1,8,1,UNSAT,0.002901600000768667,104,26
scalability,1,8,2,SAT,0.002961199999845121,104,26
scalability,1,10,0,UNSAT,0.003687000000354601,128,32
scalability,1,10,1,SAT,0.003693699998621014,128,32
scalability,1,10,2,UNSAT,0.003593400000681868,128,32
scalability,2,2,0,SAT,0.17750920000071346,8192,8
scalability,2,2,1,UNSAT,0.17745119999926828,8192,8
scalability,2,2,2,UNSAT,0.17318990000057966,8192,8
scalability,2,4,0,SAT,0.9584774000013567,43904,14
scalability,2,4,1,SAT,0.9730417000009766,43904,14
scalability,2,4,2,SAT,0.9514683999987028,43904,14
scalability,2,6,0,SAT,2.825086300001203,128000,20
scalability,2,6,1,SAT,2.80119459999878,128000,20
scalability,2,6,2,SAT,2.7652896999989025,128000,20
scalability,2,8,0,SAT,5.972185799999352,281216,26
scalability,2,8,1,SAT,5.944215199999235,281216,26
scalability,2,8,2,SAT,5.938538599999447,281216,26
scalability,2,10,0,SAT,11.205523300001005,524288,32
scalability,2,10,1,SAT,11.266723500000808,524288,32
scalability,2,10,2,SAT,11.298226400000203,524288,32
