analysis,dataset,seed,method,status,accuracy,selection_rate_g0,selection_rate_g1,di,fpr_g0,fpr_g1,fpr_gap,fair
stability,stability_synth,0,cart,SAT,0.819047619047619,0.22641509433962265,0.7307692307692307,0.3098311817279047,0.1032258064516129,0.36,0.2567741935483871,False
stability,stability_synth,0,cart_group_threshold,SAT,0.5476190476190477,0.0,0.0,1.0,0.0,0.0,0.0,True
stability,stability_synth,0,cert_tree,SAT,0.6142857142857143,0.5754716981132075,0.5769230769230769,0.9974842767295599,0.5032258064516129,0.38666666666666666,0.1165591397849462,False
stability,breast_cancer_proxy,0,cart,SAT,0.9064327485380117,0.9135802469135802,0.3,0.3283783783783784,0.14285714285714285,0.07017543859649122,0.07268170426065163,False
stability,breast_cancer_proxy,0,cart_group_threshold,NEAR-SAT,0.9239766081871345,0.9135802469135802,0.4444444444444444,0.4864864864864865,0.14285714285714285,0.15789473684210525,0.015037593984962405,False
stability,breast_cancer_proxy,0,cert_tree,SAT,0.6666666666666666,0.9382716049382716,0.9111111111111111,0.9710526315789474,0.5714285714285714,0.8771929824561403,0.3057644110275689,False
stability,stability_synth,1,cart,SAT,0.8071428571428572,0.06829268292682927,0.7767441860465116,0.0879217175405287,0.01282051282051282,0.45714285714285713,0.4443223443223443,False
stability,stability_synth,1,cart_group_threshold,SAT,0.5380952380952381,0.0,0.0,1.0,0.0,0.0,0.0,True
stability,stability_synth,1,cert_tree,SAT,0.6357142857142857,0.4097560975609756,0.5534883720930233,0.7403156384505021,0.33974358974358976,0.4,0.060256410256410264,False
stability,breast_cancer_proxy,1,cart,SAT,0.9473684210526315,0.9550561797752809,0.25609756097560976,0.2681492109038737,0.4,0.03389830508474576,0.36610169491525424,False
stability,breast_cancer_proxy,1,cart_group_threshold,NEAR-SAT,0.9122807017543859,0.9550561797752809,0.4024390243902439,0.42137733142037304,0.4,0.1864406779661017,0.21355932203389832,False
stability,breast_cancer_proxy,1,cert_tree,SAT,0.7543859649122807,0.9662921348314607,0.7195121951219512,0.7446114577424844,0.4,0.6440677966101694,0.24406779661016942,False
stability,stability_synth,2,cart,SAT,0.8023809523809524,0.12844036697247707,0.8168316831683168,0.15724214623297195,0.0189873417721519,0.5571428571428572,0.5381555153707053,False
stability,stability_synth,2,cart_group_threshold,SAT,0.5428571428571428,0.0,0.0,1.0,0.0,0.0,0.0,True
stability,stability_synth,2,cert_tree,SAT,0.6904761904761905,0.3440366972477064,0.5,0.6880733944954128,0.24050632911392406,0.2714285714285714,0.030922242314647352,False
stability,breast_cancer_proxy,2,cart,SAT,0.9415204678362573,0.9666666666666667,0.32098765432098764,0.33205619412515963,0.5,0.08620689655172414,0.41379310344827586,False
stability,breast_cancer_proxy,2,cart_group_threshold,NEAR-SAT,0.9298245614035088,0.9666666666666667,0.345679012345679,0.35759897828863346,0.5,0.1206896551724138,0.3793103448275862,False
stability,breast_cancer_proxy,2,cert_tree,SAT,0.7192982456140351,0.8,0.6049382716049383,0.7561728395061729,0.8333333333333334,0.4482758620689655,0.38505747126436785,False
stability,stability_synth,3,cart,SAT,0.7595238095238095,0.03271028037383177,0.6796116504854369,0.04813084112149532,0.00625,0.4027777777777778,0.3965277777777778,False
stability,stability_synth,3,cart_group_threshold,SAT,0.5523809523809524,0.0,0.0,1.0,0.0,0.0,0.0,True
stability,stability_synth,3,cert_tree,SAT,0.65,0.4766355140186916,0.558252427184466,0.8537992685900041,0.3875,0.3611111111111111,0.026388888888888906,True
stability,breast_cancer_proxy,3,cart,SAT,0.8947368421052632,0.9156626506024096,0.3522727272727273,0.38471889952153115,0.4,0.11864406779661017,0.28135593220338984,False
stability,breast_cancer_proxy,3,cart_group_threshold,SAT,0.6257309941520468,1.0,1.0,1.0,1.0,1.0,0.0,True
stability,breast_cancer_proxy,3,cert_tree,SAT,0.7602339181286549,0.7228915662650602,0.5227272727272727,0.7231060606060605,0.6,0.288135593220339,0.311864406779661,False
stability,stability_synth,4,cart,SAT,0.7785714285714286,0.10407239819004525,0.6482412060301508,0.16054579255673648,0.024096385542168676,0.36923076923076925,0.34513438368860055,False
stability,stability_synth,4,cart_group_threshold,SAT,0.55,0.0,0.0,1.0,0.0,0.0,0.0,True
stability,stability_synth,4,cert_tree,SAT,0.6452380952380953,0.5339366515837104,0.5829145728643216,0.9159775315961929,0.46987951807228917,0.2923076923076923,0.17757182576459685,False
stability,breast_cancer_proxy,4,cart,SAT,0.9298245614035088,0.9555555555555556,0.35802469135802467,0.3746770025839793,0.42857142857142855,0.12280701754385964,0.3057644110275689,False
stability,breast_cancer_proxy,4,cart_group_threshold,NEAR-SAT,0.9298245614035088,0.9555555555555556,0.35802469135802467,0.3746770025839793,0.42857142857142855,0.12280701754385964,0.3057644110275689,False
stability,breast_cancer_proxy,4,cert_tree,SAT,0.6666666666666666,0.9888888888888889,0.9259259259259259,0.9363295880149812,0.8571428571428571,0.8947368421052632,0.03759398496240607,True
